"name","creation","modified","modified_by","owner","docstatus","idx","title","is_public","public_key","_user_tags","_comments","_assign","_liked_by"
DSH-0002,2024-10-20 14:13:34.803,2024-10-21 16:02:41.610,Administrator,Administrator,0,0,Daily Sales,1,"4580624fcb50bd26a30a8f765f5d600d047225755e78101baa4c8795",,,,
DSH-0007,2024-10-20 15:07:59.812,2024-10-21 15:40:49.773,Administrator,Administrator,0,0,Weekly Sales,1,d9dc7ca42bbf0ac96a6542954ec14e403ec4800f10b0e4aee9e655ba,,,,
DSH-0012,2024-10-20 15:41:04.636,2024-10-21 15:46:07.327,Administrator,Administrator,0,0,Monthly sales,1,e195b3a40e9c39e196818c3d786ef67d017fa11b5c549d677a570d61,,,,
DSH-0016,2024-10-20 16:15:08.142,2024-10-20 16:48:27.759,Administrator,Administrator,0,0,Purchase,1,"275daba7e7bd90f7728f1d1210131ab9f1234c828c433f3d1f7f4b55",,,,
DSH-0023,2024-11-11 16:20:18.090,2024-11-17 14:35:29.413,Administrator,Administrator,0,0,About Table,1,"4c5428a89c03fc6e539aaeb1e6d2f66c7258f563aaf5ce9eb61bf0c9",,,,"[""Administrator""]"
